minecraft:stone,minecraft_stone,Stone,true,true
minecraft:granite,minecraft_granite,Granite,true,true
minecraft:polished_granite,minecraft_polished_granite,Polished Granite,true,true
minecraft:diorite,minecraft_diorite,Diorite,true,true
minecraft:polished_diorite,minecraft_polished_diorite,Polished Diorite,true,true
minecraft:andesite,minecraft_andesite,Andesite,true,true
minecraft:polished_andesite,minecraft_polished_andesite,Polished Andesite,true,true
minecraft:deepslate,minecraft_deepslate,Deepslate,true,true
minecraft:cobbled_deepslate,minecraft_cobbled_deepslate,Cobbled Deepslate,true,true
minecraft:polished_deepslate,minecraft_polished_deepslate,Polished Deepslate,true,true
minecraft:calcite,minecraft_calcite,Calcite,true,true
minecraft:tuff,minecraft_tuff,Tuff,true,true
minecraft:tuff_slab,minecraft_tuff_slab,Tuff Slab,true,true
minecraft:tuff_stairs,minecraft_tuff_stairs,Tuff Stairs,true,true
minecraft:tuff_wall,minecraft_tuff_wall,Tuff Wall,true,true
minecraft:chiseled_tuff,minecraft_chiseled_tuff,Chiseled Tuff,true,true
minecraft:polished_tuff,minecraft_polished_tuff,Polished Tuff,true,true
minecraft:polished_tuff_slab,minecraft_polished_tuff_slab,Polished Tuff Slab,true,true
minecraft:polished_tuff_stairs,minecraft_polished_tuff_stairs,Polished Tuff Stairs,true,true
minecraft:polished_tuff_wall,minecraft_polished_tuff_wall,Polished Tuff Wall,true,true
minecraft:tuff_bricks,minecraft_tuff_bricks,Tuff Bricks,true,true
minecraft:tuff_brick_slab,minecraft_tuff_brick_slab,Tuff Brick Slab,true,true
minecraft:tuff_brick_stairs,minecraft_tuff_brick_stairs,Tuff Brick Stairs,true,true
minecraft:tuff_brick_wall,minecraft_tuff_brick_wall,Tuff Brick Wall,true,true
minecraft:chiseled_tuff_bricks,minecraft_chiseled_tuff_bricks,Chiseled Tuff Bricks,true,true
minecraft:dripstone_block,minecraft_dripstone_block,Dripstone Block,true,true
minecraft:grass_block,minecraft_grass_block,Grass Block,true,true
minecraft:dirt,minecraft_dirt,Dirt,true,true
minecraft:coarse_dirt,minecraft_coarse_dirt,Coarse Dirt,true,true
minecraft:podzol,minecraft_podzol,Podzol,true,true
minecraft:rooted_dirt,minecraft_rooted_dirt,Rooted Dirt,true,true
minecraft:mud,minecraft_mud,Mud,true,true
minecraft:crimson_nylium,minecraft_crimson_nylium,Crimson Nylium,true,true
minecraft:warped_nylium,minecraft_warped_nylium,Warped Nylium,true,true
minecraft:cobblestone,minecraft_cobblestone,Cobblestone,true,true
minecraft:oak_planks,minecraft_oak_planks,Oak Planks,true,true
minecraft:spruce_planks,minecraft_spruce_planks,Spruce Planks,true,true
minecraft:birch_planks,minecraft_birch_planks,Birch Planks,true,true
minecraft:jungle_planks,minecraft_jungle_planks,Jungle Planks,true,true
minecraft:acacia_planks,minecraft_acacia_planks,Acacia Planks,true,true
minecraft:cherry_planks,minecraft_cherry_planks,Cherry Planks,true,true
minecraft:dark_oak_planks,minecraft_dark_oak_planks,Dark Oak Planks,true,true
minecraft:mangrove_planks,minecraft_mangrove_planks,Mangrove Planks,true,true
minecraft:bamboo_planks,minecraft_bamboo_planks,Bamboo Planks,true,true
minecraft:crimson_planks,minecraft_crimson_planks,Crimson Planks,true,true
minecraft:warped_planks,minecraft_warped_planks,Warped Planks,true,true
minecraft:bamboo_mosaic,minecraft_bamboo_mosaic,Bamboo Mosaic,true,true
minecraft:oak_sapling,minecraft_oak_sapling,Oak Sapling,true,true
minecraft:spruce_sapling,minecraft_spruce_sapling,Spruce Sapling,true,true
minecraft:birch_sapling,minecraft_birch_sapling,Birch Sapling,true,true
minecraft:jungle_sapling,minecraft_jungle_sapling,Jungle Sapling,true,true
minecraft:acacia_sapling,minecraft_acacia_sapling,Acacia Sapling,true,true
minecraft:cherry_sapling,minecraft_cherry_sapling,Cherry Sapling,true,true
minecraft:dark_oak_sapling,minecraft_dark_oak_sapling,Dark Oak Sapling,true,true
minecraft:mangrove_propagule,minecraft_mangrove_propagule,Mangrove Propagule,true,true
minecraft:bedrock,minecraft_bedrock,Bedrock,true,true
minecraft:sand,minecraft_sand,Sand,true,true
minecraft:suspicious_sand,minecraft_suspicious_sand,Suspicious Sand,true,true
